rxntype,rxn_name,n_samples,test_r2_Avalon,test_r2_Avalon_RDKit,test_r2_Layered_NonFP,test_r2_simple_avg,test_mae_Avalon,test_mae_Avalon_RDKit,test_mae_Layered_NonFP,test_mae_simple_avg,test_rmse_Avalon,test_rmse_Avalon_RDKit,test_rmse_Layered_NonFP,test_rmse_simple_avg
1,C–N,2616,0.3824288276804631,0.3755866367256921,0.3792037991553316,0.3920143037009344,0.1510815090838975,0.1565880799454972,0.1562462232315918,0.1532005670842319,0.195422743416503,0.1965023246939809,0.1959323391439362,0.1939002096878668
2,Suzuki,1645,0.4342378984155424,0.4090643888697031,0.3983708910041919,0.4319546962043501,0.1159970364450199,0.1252354331690393,0.1264257514228734,0.1204163313899677,0.1591603300975848,0.162662703550501,0.1641278670154158,0.1594811615214313
3,Heck,654,0.3778584944388553,0.3813386735411183,0.3907422206430592,0.4010637675593027,0.1288888834504838,0.1347204363198707,0.1333654446998977,0.1303563787708595,0.1757083902686805,0.1752162560669245,0.1738795284400614,0.1724003741708461
4,Diels-Alder,337,0.3824899006146385,0.3578977317787798,0.334874010797798,0.3747417846761057,0.1202966652296393,0.1267019273520504,0.1286781037915511,0.1228773149336768,0.163666530835681,0.1668937013727308,0.1698594851728663,0.1646901191265562
5,SNAr,771,0.4481715068611155,0.4540946561247483,0.4595461721712608,0.4688595492299847,0.1327540053383043,0.1360663940047758,0.135451010216777,0.1328963997545263,0.1782211373246263,0.1772620726731811,0.1763747652872356,0.1748484704439524
6,Sonogashira,1135,0.3615679555934302,0.4130861853854406,0.410458876454165,0.4206829625815479,0.126932794239839,0.1276249829221372,0.1278069305304598,0.1249716477074412,0.1699895523883803,0.1629866591139612,0.1633510551620169,0.1619284059746616
7,Michael,755,0.4754681903075587,0.4630571701862189,0.4608755950760946,0.4880288118429028,0.0905056656145869,0.0957981077546757,0.0961651665995123,0.0918272951221152,0.1297672031063798,0.1312934476397884,0.1315598970237353,0.1282040624194115
8,Amidation,2850,0.3820114121964383,0.3473425007526559,0.3023001442217023,0.3665388061202087,0.1206948441678337,0.1348240156989107,0.1428562483936648,0.130805810794037,0.1701300899539932,0.1748370903498668,0.180769526579624,0.1722466999472458
