rxntype,rxn_name,n,OOF_R2_Full_SimAvg,OOF_R2_wo_Avalon,OOF_R2_wo_Avalon_RDKit,OOF_R2_wo_Layered_NonFP,OOF_R2_Avalon,OOF_R2_Avalon_RDKit,OOF_R2_Layered_NonFP
1,C–N,23538,0.36350303888320923,0.35839152336120605,0.36204665899276733,0.3583608865737915,0.3336102366447449,0.3534941077232361,0.35656481981277466
2,Suzuki,14455,0.3850417733192444,0.3800874352455139,0.38215571641921997,0.37916505336761475,0.3455169200897217,0.3752213716506958,0.37951910495758057
3,Heck,5423,0.34971004724502563,0.34073805809020996,0.34680628776550293,0.3449954390525818,0.3084556460380554,0.3365166187286377,0.33779656887054443
4,Diels-Alder,3292,0.3906593918800354,0.38076239824295044,0.3868459463119507,0.3889726996421814,0.35756003856658936,0.3806335926055908,0.3721964955329895
5,SNAr,6919,0.4577033519744873,0.45224177837371826,0.4537520408630371,0.4521622657775879,0.41434210538864136,0.44878900051116943,0.4501633644104004
6,Sonogashira,10465,0.3191702961921692,0.31821393966674805,0.3115884065628052,0.3077147603034973,0.24694371223449707,0.314120352268219,0.3164716362953186
7,Michael,6820,0.4071400761604309,0.4066731929779053,0.4012068510055542,0.39938902854919434,0.3557392954826355,0.4040403366088867,0.40503591299057007
8,Amidation,25940,0.39297348260879517,0.3852912187576294,0.39262622594833374,0.39047348499298096,0.37374013662338257,0.38241904973983765,0.38064342737197876
Overall,,96852,0.4102485775947571,0.40508872270584106,0.40777069330215454,0.4052184820175171,0.37610578536987305,0.40141844749450684,0.40254998207092285
