rxntype,rxn_name,n_samples,r2,mae,rmse
1,C–N,2616,0.3920143037009344,0.15320056708423196,0.19390020968786684
2,Suzuki,1645,0.4319546962043501,0.12041633138996771,0.15948116152143138
3,Heck,654,0.40106376755930273,0.13035637877085957,0.1724003741708461
4,Diels-Alder,337,0.37474178467610575,0.12287731493367682,0.1646901191265562
5,SNAr,771,0.46885954922998474,0.1328963997545263,0.17484847044395246
6,Sonogashira,1135,0.4206829625815479,0.1249716477074412,0.16192840597466165
7,Michael,755,0.4880288118429028,0.09182729512211521,0.1282040624194115
8,Amidation,2850,0.3665388061202087,0.13080581079403708,0.1722466999472458
pooled,All,10763,0.4390213422239878,0.13118576497412685,0.17217741429825972
