smiles,logP_ALOGPS,logS,logP_ChemAxon,solubility_ALOGPS,pKa_acid,pKa_base,PSA,Polarizability,H_Acceptor_Count,H_Donor_Count
C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,2.66,-4.8,-3.2,2.02e-02 g/l,1.82,8.68,477.85,138.79,18,9
NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,-0.96,-3.2,-3.4,2.69e-01 g/l,3.21,5.33,207.27,42.95,12,8
N[C@@H](CC1=CNC=N1)C(O)=O,-2.7,-0.34,-3.6,7.13e+01 g/l,1.85,9.44,92,14.67,4,3
C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,0.05,-2.4,-5.3,1.62e+00 g/l,1.7,9.41,185.46,39.26,10,4
CC(=O)C(O)=O,-0.38,0.18,0.066,1.34e+02 g/l,2.93,-9.6,54.37,7.31,3,1
N[C@@H](CC1=CC=CC=C1)C(O)=O,-1.4,-1.6,-1.2,4.14e+00 g/l,2.47,9.45,63.32,17.03,3,2
[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,0.17,-2.3,0.32,1.22e+00 g/l,4.4,-1.9,78.43,24.92,3,3
C[N+](C)(C)CCO,-3.6,-1.6,-4.7,3.61e+00 g/l,13.97,-3.2,20.23,12.57,1,1
NCCCC[C@H](N)C(O)=O,-3.8,-0.14,-3.2,1.05e+02 g/l,2.74,10.29,89.34,15.84,4,3
N[C@@H](CCCNC(N)=N)C(O)=O,-3.5,-1.9,-3.2,2.28e+00 g/l,2.41,12.41,125.22,17.8,6,5
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,-1.6,0.14,-1.9,2.45e+02 g/l,4.16,-3,107.22,14.93,5,4
NCCCNCCCCNCCCN,-0.66,-2,-1.5,2.19e+00 g/l,,10.8,76.1,26.69,4,4
N[C@@H](CC(O)=O)C(O)=O,-3.5,0.03,-3.5,1.42e+02 g/l,1.7,9.61,100.62,11.28,5,3
NCCC[C@H](N)C(O)=O,-3.6,0.11,-3.7,1.72e+02 g/l,2.67,10.29,89.34,13.85,4,3
N[C@@H](CCC(N)=O)C(O)=O,-3.3,-0.17,-4,9.78e+01 g/l,2.15,9.31,106.41,13.87,4,3
NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,,,-4.7,,1.23,3.92,186.07,29.96,10,5
CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,6.62,-6,6.06,2.66e-04 g/l,4.99,,37.3,34.98,2,1
N[C@@H](CO)C(O)=O,-3.4,0.66,-3.9,4.80e+02 g/l,2.03,8.93,83.55,9.39,4,3
CSCC[C@H](N)C(O)=O,-1.8,-0.8,-2.2,2.39e+01 g/l,2.53,9.5,63.32,15.5,3,2
N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,-2.4,-1.4,-1.5,7.67e+00 g/l,2,9.19,83.55,18.12,4,3
C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,5.51,-4.8,4.35,6.67e-03 g/l,14.39,-1.3,60.69,51.13,3,3
C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,8.29,-5.9,8.55,7.32e-04 g/l,18.22,-0.91,40.46,73.81,2,2
N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,-3.2,-1.2,-5.9,1.68e+01 g/l,1.56,9.34,126.64,22.77,6,4
OC(=O)CCC(O)=O,-0.53,0.25,-0.4,2.11e+02 g/l,3.55,,74.6,10.14,4,2
CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,-1,-2.8,-0.92,6.57e-01 g/l,5.97,-0.19,155.05,37.51,9,5
[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,-2.1,-0.18,-3.9,1.48e+02 g/l,12.09,-1.8,127.09,20.49,6,5
N[C@@H](CCC(O)=O)C(O)=O,-3.5,-0.26,-3.2,8.06e+01 g/l,1.88,9.54,100.62,13.32,5,3
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,,,-4.9,,1.94,9.22,158.82,29.3,7,6
CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCCCC,4.95,-7.1,11.27,6.74e-05 g/l,1.47,9.38,171.68,96.63,7,3
NCC(O)=O,-3.3,0.87,-3.4,5.52e+02 g/l,2.31,9.24,63.32,6.65,3,2
C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,6.71,-5.3,5.65,2.20e-03 g/l,18.38,-0.98,40.46,50.38,2,2
CC1=NC=C(CO)C(C=O)=C1O,0.02,-1.2,0.18,1.17e+01 g/l,7.97,4.11,70.42,16.28,4,2
CN(CC(O)=O)C(N)=N,-1.6,-1.5,-2.9,4.11e+00 g/l,3.5,12.43,90.41,12.17,5,3
CC(C)C[C@H](N)C(O)=O,-1.8,-0.27,-1.6,6.98e+01 g/l,2.79,9.52,63.32,14.16,3,2
N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,-1.1,-2.2,-1.1,1.36e+00 g/l,2.54,9.4,79.11,21.05,3,3
N[C@@H](CS)C(O)=O,-2.6,-0.72,-2.8,2.31e+01 g/l,2.35,9.05,63.32,11.41,3,3
CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,-2.1,-4.3,-3.1,1.53e-02 g/l,15.5,5.54,75.91,28.14,4,2
CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,7.59,-6,7.05,4.33e-04 g/l,18.38,-1.3,20.23,50.72,1,1
CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,7.24,-6.6,6.95,7.71e-05 g/l,4.89,,37.3,39.01,2,1
N[C@@H](CCCNC(N)=O)C(O)=O,-3.3,-0.9,-3.9,2.18e+01 g/l,2.27,9.23,118.44,17.35,4,4
C[C@@H](O)[C@H](N)C(O)=O,-3,0.6,-3.5,4.77e+02 g/l,2.21,9,83.55,11.08,4,3
NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,-1.4,-2.4,-6,2.95e+00 g/l,-7.5,4.93,317.62,59.53,16,8
NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,-0.04,-3.8,-0.69,7.61e-02 g/l,3.38,2.12,208.99,42.06,12,6
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,6.53,-6,6.23,2.89e-04 g/l,4.82,,37.3,35.93,2,1
C[C@H](N)C(O)=O,-3,0.7,-2.8,4.47e+02 g/l,2.47,9.48,63.32,8.49,3,2
CC(C)[C@H](N)C(O)=O,-2.3,0.26,-2,2.14e+02 g/l,2.72,9.6,63.32,12.19,3,2
C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,6.38,-4.6,4.69,7.58e-03 g/l,16.44,-2.2,20.23,36.54,1,1
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,8.84,-7.8,10.51,7.04e-06 g/l,10.8,-4.9,29.46,55.29,2,1
CC1=C(O)C(CO)=C(CO)C=N1,-0.57,-1,-0.95,1.61e+01 g/l,9.4,5.58,73.58,17.11,4,3
OC(=O)CCCC[C@@H]1CCSS1,2.75,-3,2.11,2.24e-01 g/l,4.52,,37.3,21.74,2,1
CC[C@H](C)[C@H](N)C(O)=O,-1.7,-0.06,-1.5,1.14e+02 g/l,2.79,9.59,63.32,14.11,3,2
COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,-1.2,-2.6,-2.2,6.51e-01 g/l,3.53,8.53,118.72,29.56,5,3
CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,7.98,-6,7.13,3.80e-04 g/l,18.38,-1.3,20.23,49.63,1,1
CC1=CC(=O)C2=CC=CC=C2C1=O,1.91,-2.5,1.89,5.04e-01 g/l,,-7.2,34.14,17.64,2,0
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,-0.84,-2,-5.4,4.49e+00 g/l,0.9,4.93,279.13,39.07,14,7
OC(=O)[C@@H]1CCCN1,-2.7,0.5,-2.6,3.65e+02 g/l,1.94,11.33,49.33,11.5,3,2
NC1=C2NC=NC2=NC=N1,-0.38,-1.1,-0.57,1.15e+01 g/l,10.29,3.66,80.48,12.29,4,2
N[C@@H](CC(N)=O)C(O)=O,-3.4,0.1,-4.3,1.68e+02 g/l,2,8.43,106.41,11.68,4,3
[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,2.23,-3.2,1.65,2.42e-01 g/l,4.21,-2.7,124.29,46.17,6,4
COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,2.89,-4.6,2.8,7.34e-03 g/l,,8.86,56.84,32.44,4,1
CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,3.68,-4.3,5.27,2.34e-02 g/l,4.35,-0.64,112.07,47.27,6,2
[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,0.92,-4,1.47,3.90e-02 g/l,3.75,5.2,95.94,44.79,5,2
C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,3.44,-4.4,4.76,1.36e-02 g/l,9.21,-6.3,80.92,33.63,4,4
[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,2.2,-4.1,1.56,3.74e-02 g/l,13.73,-2.9,93.06,44.67,6,2
NCC(CC(O)=O)C1=CC=C(Cl)C=C1,-0.82,-2.5,-0.78,7.12e-01 g/l,3.89,9.79,63.32,21.13,3,2
