smiles,logP_ALOGPS,logS,logP_ChemAxon,solubility_ALOGPS,pKa_acid,pKa_base,PSA,Polarizability,H_Acceptor_Count,H_Donor_Count
CO[C@@H]1O[C@H](CO)[C@@H](S)[C@H](O)[C@H]1O,-0.79,-0.71,-1.3,4.06e+01 g/l,9.5,-3,79.15,20.36,5,4
CN1C=[N+]([C@@H]2O[C@H](CO[P@](O)(=O)O[P@](O)(=O)O[P@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)N3C=NC4=C(N)N=CN=C34)[C@@H](O)[C@H]2O)C2=C1C(=O)N=C(N)N2,-0.18,-2.4,-11,2.89e+00 g/l,0.91,4.93,394.11,66.5,20,10
OC(=O)\C=C\C1=CC=CC=C1O,1.9,-2.2,1.83,1.15e+00 g/l,3.85,-6,57.53,16.11,3,2
[H][C@@]12CO[C@](C)(O[C@]1([H])[C@H](O)[C@@H](O)[C@H](OC)O2)C(O)=O,-1,0,-0.82,2.64e+02 g/l,2.96,-3.7,114.68,24.27,8,3
CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C1=CC=C(O)C=C1,0.01,-2.4,-4.3,3.28e+00 g/l,0.83,4.89,383.86,79.91,18,10
O[C@@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O,-2.3,-1.1,-3.5,2.07e+01 g/l,1.49,-3.5,184.98,21.39,9,7
FC(F)OC1=C(OCC2CC2)C=C(C=C1)C(=O)NC1=C(Cl)C=NC=C1Cl,4.47,-4.8,4.45,6.20e-03 g/l,13.3,2.4,60.45,35.9,4,1
NC(CC1C\C(=N/C2CC2C2=CC=CC=C2)C(O)=CC1=O)C(O)=O,-1,-3.3,-2,1.66e-01 g/l,1.86,9.12,112.98,34.41,6,3
CC1=C(CCO[P@](O)(=O)O[P@](O)([O-])=O)SC=[N+]1CC1=CC=C(C)N=C1N,-0.88,-3.5,-6.1,1.57e-01 g/l,0.78,8.24,158.91,37.35,7,3
N[C@@H](CC1=CC=C2C=CC3=C(N=CC=C3)C2=N1)C(O)=O,-0.73,-3.3,-0.84,1.21e-01 g/l,2.14,9.28,89.1,27.5,5,2
O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN(C1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O)C2=N,-0.35,-1.9,-5,9.92e+00 g/l,1.1,0.6,383.23,57.34,20,11
[H][C@@](C)(CC1=CC=CC=C1O)C(O)=O,1.65,-2,2.29,1.97e+00 g/l,4.28,-6,57.53,18.39,3,2
CC1=CC2=C3C=C(CCCCCCCCC(=O)N[C@H]4[C@H]5C[C@@H]6C[C@@H](C[C@H]4C6)C5)C=CN3[Ru++]34(N5C=CC=CC5=C5C=CC=CN35)(N3C=CC=CC3=C3C=CC=CN43)N2C=C1,,,9.78,,16.13,9.33,48.54,91.99,7,1
N[C@@H](CC1=CONC1=O)C(O)=O,-2.8,-0.55,-3.6,4.89e+01 g/l,1.77,9.36,101.65,15.01,5,3
NC1N=C2C=CC=CC2=N1,-0.19,-1.8,1.55,1.95e+00 g/l,13.51,3.29,50.74,13.6,3,1
[H][C@]1(OS(O)(=O)=O)[C@]([H])(OS(O)(=O)=O)[C@@]([H])(OS(O)(=O)=O)[C@]([H])(OS(O)(=O)=O)[C@]([H])(OS(O)(=O)=O)[C@]1([H])OS(O)(=O)=O,-1.3,-3.2,-3.5,3.94e-01 g/l,-3.5,,381.6,47.3,18,6
NC1=NC2=C(N=NN2)C(=O)N1,-1.4,-1.9,-1.1,2.01e+00 g/l,6.5,-2.6,109.05,12.55,5,3
[H][C@]12CC(=O)O[C@]1([H])C1=C(C(=O)C3=C(C=CC=C3O)C1=O)[C@]([H])(C)O2,1.98,-2.2,1.46,1.94e+00 g/l,8.21,-4.2,89.9,29.01,5,1
CC(C)[C@H]1OC(=O)C2=CCCN2C(=O)C2=COC(=N2)CC(=O)C[C@H](O)\C=C(/C)\C=C\CNC(=O)\C=C\[C@H]1C,2.6,-3.9,2.38,6.01e-02 g/l,13.17,-0.16,139.04,55.74,6,2
CCCOC(C)=O,1.28,-0.56,0.8,2.82e+01 g/l,,-7,26.3,11.39,1,0
O[Hg]C1=CC=C(C=C1)C(O)=O,0.43,-0.81,-0.12,5.22e+01 g/l,3.86,-2.4,57.53,15.68,3,2
OC(=O)C1=CC=CC(O)=C1O,1.42,-1.4,1.67,6.88e+00 g/l,2.56,-6.3,77.76,13.7,4,3
C[C@H](NC(=O)[C@@H](C)O[C@H]1[C@H](O)[C@@H](CO)O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@@H]1NC(C)=O)C(O)=O,-1.4,-1.9,-5.1,9.58e+00 g/l,1.73,-3.7,355.81,64.42,17,10
[H][C@@](C)(O)[C@]([H])(N)C1=NC(CC2=CNC3=CC=CC(F)=C23)=C(O)N1CC(O)=O,-0.55,-3.1,-1.6,3.16e-01 g/l,3.81,7.4,137.39,35.12,6,5
CC(=C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,-0.38,-2.3,-4.7,4.11e+00 g/l,0.83,4.89,363.63,72.89,17,9
CC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,1.5,-3.5,2.31,7.78e-02 g/l,,,129.42,18.05,6,0
OC(=O)\C=C\C(O)=O,0.21,-0.68,-0.041,2.41e+01 g/l,3.35,,74.6,9.35,4,2
CC(=O)N[C@@H](CC1=CC=C(OP(O)(O)=O)C(C=O)=C1)C(=O)N[C@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O,2.34,-5.9,2.62,7.44e-04 g/l,1.75,-1.9,162.34,61.86,7,4
CCCO[P@](O)(=O)OP(O)(O)=O,-0.07,-1.3,-0.18,1.19e+01 g/l,1.78,,113.29,16.02,5,3
OC(=O)C1=C(C(O)=O)C(C(O)=O)=C(C(O)=O)C(C(O)=O)=C1C(O)=O,1.01,-3.2,-0.081,2.04e-01 g/l,0.27,,223.8,26.8,12,6
CC1=C(CCO[P@](O)(=O)O[P@](O)([O-])=O)SC=[N+]1CC1=C(C)N=C(C)N=C1N,-1,-3.3,-6.7,2.59e-01 g/l,0.84,7.07,171.8,38.73,8,3
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O)C1CCNC(=N)N1)C(=O)N[C@@H](CC1=CC=CC=C1)C=O,1.03,-4.5,-0.39,1.82e-02 g/l,3.41,10.99,201.61,61.91,9,8
OC[C@@H](O)CSO,-1.8,0.69,-1.1,6.07e+02 g/l,13.63,-2.9,60.69,11.89,3,3
N#CC1=NC=CC(=C1)C1=NNC(=N1)C1=CC=NC=C1,1.47,-3.5,1.82,7.79e-02 g/l,8.75,3.91,91.14,25.39,5,1
N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O,-3.1,-1.5,-2.7,6.77e+00 g/l,2.54,12.34,104.94,22.19,6,3
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@H](O)[C@H](O)O[C@@H]2CO)[C@@H](O)[C@@H](O)[C@@H]1O,-3,0.23,-4.7,5.86e+02 g/l,11.25,-3,189.53,31.17,11,8
CC1=CC=C(O)C=C1,1.95,-0.67,2.18,2.31e+01 g/l,10.36,-5.4,20.23,11.93,1,1
CC1=CC=CC=C1CC(=O)NC1=CC(C)=C(C(C)=C1)S(=O)(=O)NCC(O)=O,1.04,-4.5,2.89,1.34e-02 g/l,3.12,-4.8,112.57,40.84,5,3
[H][C@]1(COP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,-1.3,-2.2,-10,4.39e+00 g/l,0.89,5.23,387.44,62.98,20,9
CN(CC1=CN(C)C2=CC=CC=C12)C(=O)\C=C\C1=CN=C2NC(=O)CCC2=C1,2.57,-4.3,2.74,1.96e-02 g/l,12.03,3.57,67.23,41.69,3,1
[H][C@](O)(CS)[C@]([H])(O)CS,0.18,-1.5,-0.28,5.14e+00 g/l,9.62,-3.3,40.46,15.51,2,4
O[C@@H]([C@H](O)C(O)=O)C(O)=O,-1.3,0.03,-1.8,1.61e+02 g/l,2.72,-4.3,115.06,11.61,6,4
ONC(=O)CCCP(O)(O)=O,-1.2,-1,-2.1,1.74e+01 g/l,1.81,-5.5,106.86,15.11,5,4
[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@]3([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O,-2.7,0.04,-6.5,5.54e+02 g/l,11.22,-3.6,268.68,47.52,16,11
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,0.15,-2.2,-0.87,3.54e+00 g/l,6.37,-3.7,265.52,57.08,16,10
[H]\C(C)=C(/N)CCC(O)=O,0.41,-0.39,-2.1,5.24e+01 g/l,4.6,7.06,63.32,13.58,3,2
NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,-2.2,-2.1,-4.8,2.79e+00 g/l,1.22,4.8,203.38,28.57,9,6
C[C@@H](Cl)CCl,2.13,-1.7,1.92,2.11e+00 g/l,,,0,10.3,0,0
OC(=O)CC1=CC(O)=C(O)C=C1,0.93,-1.4,1,7.23e+00 g/l,3.61,-6.3,77.76,15.71,4,3
N1(C(=O)C=CC1=O)CCC12[Fe]3456789%10C%11C3C4C5C6%11.C7(C8C19)C2%10,,,-2.8,,,-4,37.38,32.2,2,0
OC(=O)\C=C\C1=C(O)C=C(O)C=C1,1.49,-2,1.53,1.59e+00 g/l,3.64,-5.6,77.76,17.11,4,3
NC(=[NH2+])C1=CC2=C(C=C1)N=C(CC1=NC3=C(N1)C=C(C=C3)C([NH3+])=[NH2+])N2,0.64,-4.9,-0.22,5.36e-03 g/l,10.94,11.3,162.2,37.25,3,6
[H]N1C=NC2=C1C(Cl)=NC(Br)=N2,1.58,-2.2,1.54,1.60e+00 g/l,8.25,1.87,54.46,16.72,3,1
CCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC[N+](C)(C)C,0.1,-5.6,-0.59,1.34e-03 g/l,1.86,-3.4,102.29,49.54,4,2
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@]([H])(O)CC[C@]12C,3.53,-3.8,3.36,4.38e-02 g/l,18.2,-1.4,37.3,34.1,2,1
OC[C@@H](OP(O)(O)=O)C(O)=O,-2.2,-0.96,-1.6,2.03e+01 g/l,0.81,-3.1,124.29,13.36,6,4
[Fe+5].[H]C1=C([H])/C2=C([H])/C3=N/C(/C([H])=C3[H])=C([H])\C3=C([H])C([H])=C([N-]3)/C([H])=C3\N=C(C([H])=C3[H])\C(\[H])=C\1/[N-]\2,5.16,-5.2,4.63,2.97e-03 g/l,14.67,5.23,51.56,34.1,4,0
OCC1=C(F)C(F)=C(F)C(F)=C1F,1.52,-2.6,1.92,4.81e-01 g/l,13.68,-3.4,20.23,12.41,1,1
CCOC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H]1CSCCN1S(=O)(=O)C1=CC=C(C)C=C1,2.59,-5.1,3.21,3.48e-03 g/l,11.85,-5.2,92.78,49.01,4,1
O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O,-1.3,-1.6,-4.4,1.36e+01 g/l,1.73,-3.5,271.31,42.12,13,8
CNCCCC[C@H](N)C(O)=O,-2.4,-0.49,-2.9,5.15e+01 g/l,2.8,10.58,75.35,18.04,4,3
C[C@H](N)[C@H](N)CCCCCC(O)=O,-2.1,-1.6,-1.9,4.94e+00 g/l,4.73,9.97,89.34,21.85,4,3
[H]N([C@@H]1[C@@H](O)C[C@@](CC=C)(O[C@@]1([H])[C@H](O)[C@H](O)CO)C(O)=O)C(C)=O,-1.8,-0.64,-2.6,7.68e+01 g/l,3.68,-1.3,156.55,32.32,8,6
[H][C@]1(COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,-0.2,-2.1,-10,6.92e+00 g/l,0.23,4.97,480.5,72.11,24,11
CCCCCCCCCCCCCCCC[N+](C)(C)C,2.48,-7.8,2.69,5.24e-06 g/l,,,0,41.09,0,0
[H][C@]1(S)O[C@]([H])(CO)[C@@]([H])(O[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(S[C@@]3([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]4([H])O[C@]([H])(CO)[C@@]([H])(S[C@@]5([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]5([H])O)[C@]([H])(O)[C@@]4([H])O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O,-2.6,-0.96,-8.4,9.59e+01 g/l,8.64,-3.7,388.29,82.88,23,17
[H]N(\C(=C/C1=CC=C(OC2=CC=CC=C2Br)C=C1)C(O)=O)C(=O)C1=CC=CC=C1,4.72,-6.1,4.92,3.56e-04 g/l,3.05,-3.7,75.63,40.22,3,2
[H]N([C@@H]1[C@H](O)CC2=CC=CC=C12)C(=O)[C@H](C[C@H](O)CN1CCN(CC2=CC3=C(OCO3)C=C2)C[C@H]1C(=O)N([H])C(C)(C)C)[C@H](C)C1=CC=CC=C1,4.37,-4.5,3.94,2.33e-02 g/l,13.03,6.9,123.6,74.64,8,4
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,5.32,-5.9,5.7,9.40e-04 g/l,3.44,-1.5,139.29,74.68,10,1
C[C@@H](O)[C@H](N)CO,-1.4,0.88,-1.5,8.05e+02 g/l,14.64,9.3,66.48,11.14,3,3
NC(=N)C1=CC2=C(NC(=N2)C2=CC=CC(C3=CC=CC=C3)=C2O)C=C1,3.48,-4.7,3.16,5.99e-03 g/l,8.85,10.61,98.78,36.64,4,4
NC1=CC=CC=C1O,0.35,0.02,0.84,1.16e+02 g/l,10.35,4.52,46.25,11.16,2,2
O[C@@H]([C@H](CC(O)=O)C(O)=O)C(O)=O,-0.35,-0.56,-1.4,5.25e+01 g/l,3.07,-4,132.13,15.58,7,4
[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCC,8.08,-6.9,10.45,9.45e-05 g/l,1.87,10,134.38,85.59,5,2
O[C@@H]1[C@@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@@H](O)[C@H]1OP(O)(O)=O,-0.86,-1.4,-4.2,1.48e+01 g/l,0.54,-3.7,260.97,29.73,12,9
CN(C)C[C@H](O)CN1C2=CC=C(Br)C=C2C2=C1C=CC(Br)=C2,4.17,-4.4,4.24,1.62e-02 g/l,14.41,9.09,28.4,38.44,2,1
O[C@@H]1[C@@H](O)[C@@H](COC2=CC=CC=C2)N(CC2=CC=CC=C2)C(=O)N(CC2=CC=CC=C2)[C@@H]1COC1=CC=CC=C1,4.05,-4.2,4.96,3.05e-02 g/l,13.16,-1.6,82.47,58.19,5,2
C[C@@H](OP(O)(O)=O)C(O)=O,-1.6,-0.91,-0.6,2.10e+01 g/l,1.13,,104.06,12.49,5,3
OC(=O)C(=O)NC1=CC2=C(C=CC=C2)C=C1C(O)=O,1.21,-3.5,2.47,7.78e-02 g/l,2.48,-6.9,103.7,24.61,5,3
[NH3+][C@H](CCl)C([O-])=O,-1.6,-1,-2.5,1.66e+01 g/l,1.7,8.52,67.77,10.49,2,1
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)[O-],2.24,-5.2,2.85,1.90e-03 g/l,16.02,4.46,52.16,39.19,2,1
[H][C@@](CC1=CC=CC(=C1)C(N)=N)(NC(=O)CNS(=O)(=O)C1=CC=C(C)C=C1)C(=O)OC,0.43,-4,0.54,3.92e-02 g/l,10.32,11.31,151.44,44.49,6,4
NCCOP(O)(O)=O,-1.5,-0.74,-2.5,2.58e+01 g/l,1.54,10.02,92.78,11.12,4,3
CC[C@@H](C)[C@H](N)C(O)=O,-1.7,-0.06,-1.5,1.14e+02 g/l,2.79,9.59,63.32,14.23,3,2
[H]N([H])C1=NC(CCCC)=C(CCC)[Se]1,2.52,-2.1,2.74,1.84e+00 g/l,17.79,5.3,38.91,22.9,3,1
NC(=[NH2+])C1=CC=C2NC(=NC2=C1)C1=CC(=CC(=C1[O-])C1=C(F)C=CC=C1)[C@@H](CC([O-])=O)C([O-])=O,1.43,-5,1.13,6.23e-03 g/l,3.63,10.6,183.61,45.86,7,3
C[C@@H]1CCCN(C1)C(C)=O,0.91,-0.01,0.63,1.39e+02 g/l,,-1.1,20.31,16.56,1,0
[H][C@@]12CC[C@@](C)(C(=O)C1)C2(C)C,2.85,-2.2,2.55,8.80e-01 g/l,,-7.5,17.07,17.74,1,0
COC(=O)C1CCN(CC1)C(=O)[C@H](CC1=CC=CC(=C1)C(N)=N)NS(=O)(=O)C1=CC=C2C=CC=CC2=C1,2.25,-4.7,1.9,9.70e-03 g/l,10.02,11.47,142.65,54.56,6,3
CC(C)C[C@@H](N)C(O)=O,-1.8,-0.27,-1.6,6.98e+01 g/l,2.79,9.52,63.32,14.25,3,2
[Fe+3].[H][C@@]1(CCCN([O-])C(=O)\C=C(/C)CCO)NC(=O)[C@]([H])(CCCN([O-])C(=O)\C=C(/C)CCOC(=O)[C@H](CCCN([O-])C(=O)\C=C(/C)CCO)NC(C)=O)NC1=O,1.96,-4.3,-2.3,4.84e-02 g/l,8.32,-1.5,284.17,78.1,12,5
NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=CC=CC=C1,1.27,-3.8,1.38,4.51e-02 g/l,9.95,-1.3,89.26,29.74,3,2
COCCOC,0.03,0.3,0.078,1.81e+02 g/l,,-3.8,18.46,10.3,2,0
OC(=O)CC1=C2C=CC=CC2=CC=C1,2.97,-3.2,2.6,1.10e-01 g/l,4.75,,37.3,19.42,2,1
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1,4.99,-5.2,6.52,4.89e-03 g/l,2.25,-3.7,66.76,45.76,3,2
N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12)C(O)=O,-2.4,-2,-4,4.08e+00 g/l,1.81,9.5,182.63,38.41,10,5
NC(=O)[C@H]1C=[N+](C=CC1=O)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,,,-9.3,,0.66,4.87,380.99,63.5,18,9
CN1C(=O)C(O)=C(O)C2=CC=CC=C12,0.03,-1.2,0.46,1.36e+01 g/l,6.09,-3,60.77,18.65,3,2
[H]N([H])[C@@H]([C@@H](C)CC)C(=O)N([H])S(=O)(=O)N([H])C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N=CN=C12)N([H])[H],,,-3.3,,3.57,7.99,220.6,46.01,12,6
O[C@@H](COP(O)(O)=O)[C@@H](O)C(O)=O,-2.3,-1,-2.3,1.96e+01 g/l,1.47,-3.6,144.52,16.15,7,5
N[C@@H](CC1=CC=C(O)C(I)=C1)C(O)=O,-1.5,-2.5,-0.56,9.37e-01 g/l,0.99,9.5,83.55,23.54,4,3
OCC1=CC(=O)C(O)=CO1,-1,-0.19,-0.5,9.23e+01 g/l,9.3,-3.1,66.76,12.63,4,2
COC1=NC=CN=C1C(C)C,2.08,-0.39,1.35,6.14e+01 g/l,,0.88,35.01,16.41,3,0
C[C@H](NC1=NC(=CC=N1)C1=C(N=C(C2CCNCC2)N1C)C1=CC=CC(=C1)C(F)(F)F)C1=CC=CC=C1,5.43,-5.1,5.54,4.38e-03 g/l,14.11,10,67.66,53.39,5,2
CC(=O)CC(O)=O,-0.47,0.37,-0.0015,2.40e+02 g/l,4.02,-7.5,54.37,9.18,3,1
[H][C@]1(COP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])([N+]3=CC=CC(=C3)C([S-])=N)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(OP(O)(O)=O)[C@]1([H])O,-0.95,-2,-14,7.49e+00 g/l,0.65,6.13,345.55,64.8,17,9
CCN(CC)CCS(=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@H](C(C)C)[C@H](C)\C=C\C(=O)NC\C=C\C(\C)=C\[C@@H](O)CC(=O)CC1=NC(=CO1)C2=O,2.57,-4,1.58,7.16e-02 g/l,13.17,7.09,176.42,72.41,9,2
OC(=O)CC1=C2NC(=O)C3=CC=CC=C3N2C2=C1C=CC=C2,2.3,-3.4,2.8,1.30e-01 g/l,4.17,-4.1,71.33,29.92,3,2
[H][C@](N)(CC1=CC=C2C=CC=CC2=C1)C(O)=O,-0.41,-3,-0.19,2.01e-01 g/l,2.61,9.44,63.32,23.17,3,2
NC(=N)C1=CC2=C(NC(CC3=NC4=C(N3)C=CC=C4)=N2)C=C1,1.86,-4,1.46,2.74e-02 g/l,11.47,10.71,107.23,31.77,4,4
[H]N([C@@H]1[C@@H](O)C[C@@](OC2=CC3=C(C=C2)C(C)=CC(=O)O3)(O[C@@]1([H])[C@H](O)[C@H](O)CO)C(O)=O)C(C)=O,-0.9,-2.1,-1.1,3.88e+00 g/l,2.81,-1.3,192.08,44.68,10,6
NC(=[NH2+])C1=C(Cl)C=C2NC(=CC2=C1)C1=CC=CC(OC2CCCC2)=C1[O-],1.81,-6.2,3.59,2.64e-04 g/l,9.49,10.14,99.69,40.25,3,3
[H][C@@](O)(CO)CNC1=CC=CC(=C1)C1=C(C(=O)NC1=O)C1=CN(C)C2=CC=C(F)C=C12,2.16,-4,1.32,4.55e-02 g/l,9.87,3.7,103.59,42.09,5,4
CN(CCCC1CCCCC1)C(=O)[C@H](CCC(O)=O)NC(=O)N(CC(O)=O)CC1=CC=C(OP(O)(O)=O)C=C1,1.86,-5.2,1.81,3.21e-03 g/l,1.78,-2.5,194.01,57.06,9,5
NC1=C2N=CN([C@@H]3O[C@H](CO[P@](O)(=O)O[P@](O)(=O)O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H]3O)C2=NC=N1,-1.8,-2.1,-6.9,4.84e+00 g/l,1.73,4.93,311.75,49.4,16,9
OCC(=O)CO,-1.6,0.97,-1.5,8.38e+02 g/l,13.5,-3.3,57.53,8.1,3,2
CC1=CC=CC(O)=C1,1.93,-0.63,2.18,2.51e+01 g/l,10.13,-5.5,20.23,11.91,1,1
[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CCSCCCCC(=O)N([H])CCC4=CN([H])C5=CC=CC=C45)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1,0.52,-2.7,-3.6,2.10e+00 g/l,0.83,4.89,391.45,96.72,17,11
CN1C2=C(NC(=N)N2)C(=O)N(C)C1=O,-1.1,-1.7,-1.2,3.68e+00 g/l,11.27,8.74,88.53,18.4,5,3
OCC(CO)OP(O)(O)=O,-1.8,-0.75,-2,3.07e+01 g/l,1.13,-3,107.22,13.29,5,4
[H]\C1=C2/[C@@]([H])(COC)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)[C@]([H])(O[C@@]2([H])O[C@]([H])(COC(C)(C)C=C)[C@@]([H])(O)[C@]([H])(OC(C)=O)[C@@]2([H])O)C2=C(C[C@]([H])(O)[C@]12C)[C@]([H])(C)COC(C)=O,2.42,-3.9,1.35,8.49e-02 g/l,12.24,-3,170.44,72.71,10,4
O=C1C2=CC=CC3=C2C(=NN3)C2=C1C=CC=C2,2.76,-3.1,2.82,1.86e-01 g/l,10.02,0.96,45.75,22.72,2,1
CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,-1.1,-0.56,-1.4,6.05e+01 g/l,4.35,-2.8,106.86,21.99,5,4
NS(=O)(=O)C1=CC=C(F)C=C1,0.62,-1.9,0.72,2.16e+00 g/l,9.81,,60.16,14.76,2,1
CC(C)=CCO[P@](O)(=O)OP(O)(O)=O,0.3,-1.6,0.3,6.54e+00 g/l,1.77,,113.29,19.19,5,3
C[C@@H](N)C(O)=O,-3,0.7,-2.8,4.47e+02 g/l,2.47,9.48,63.32,8.54,3,2
CC1=NC(=N)C(=C)C=N1,,,-0.57,,,3.93,48.57,12.33,3,1
[H][C@]1(N)C=C(CO)C[C@]([H])(O)[C@@]1([H])O,-1.9,0.26,-2.2,2.93e+02 g/l,13.43,8.61,86.71,16.37,4,4
NC1=C2N=CN([C@@H]3O[C@@H]4CO[P@](S)(=O)O[C@H]4[C@H]3O)C2=NC=N1,-0.63,-2.4,-3.2,1.50e+00 g/l,0.97,3.94,134.61,30.69,7,3
COC1=CC=C(C=C1OC1CCCC1)C(=O)NC1=C(Cl)C=NC=C1Cl,4.65,-4.8,4.09,6.10e-03 g/l,13.43,2.4,60.45,36.68,4,1
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2OP(O)(O)=O)N2C=CC(=O)NC2=O)[C@H]1O,,,-6.4,,0.83,4.88,320.7,52.77,16,8
OC(=O)C1=CC(NC2=C(C(=O)NC2=O)C2=CC(Cl)=CC=C2)=CC=C1Cl,3.43,-5.2,2.81,2.14e-03 g/l,3.73,-5.3,95.5,35.19,5,3
NC1=NC2=C(NC3C(N2)OC2COP([O-])(=O)O[Mg]OP([O-])(=O)OCC4OC5NC6=C(NC5C5=C4S[W]4(SC2=C3S4)S5)C(=O)NC(N)=N6)C(=O)N1,0.3,-1.8,-1,1.52e+01 g/l,3.94,1.25,318.72,71.12,16,8
OB(O)C1=CC=CC=C1,0.53,-1.1,1.64,1.01e+01 g/l,8.76,-5.4,40.46,12.84,2,2
OC(=O)C1=CC=CN=C1C(O)=O,0.15,-1.6,-1.2,4.07e+00 g/l,0.31,6.67,87.49,14.34,5,2
NC[C@@]1(O)NC(=O)C(O)=[N+]1CC(O)=O,-0.41,-1.3,-7.5,1.20e+01 g/l,2.24,7.25,135.89,17.49,6,5
